c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00011115,0.00011113,0.99999981,1e-07,1e-07,0.99999979,2.7e-07,2.7e-07,0.99999946,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998
0.00010394,0.00010397,0.99999983,9e-08,9e-08,0.99999982,2.3e-07,2.3e-07,0.99999954,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998
9.73e-05,9.729e-05,0.99999986,8e-08,8e-08,0.99999985,1.9e-07,1.9e-07,0.99999962,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998
9.09e-05,9.089e-05,0.99999988,6e-08,6e-08,0.99999987,1.6e-07,1.6e-07,0.99999968,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998
8.51e-05,8.51e-05,0.9999999,6e-08,6e-08,0.99999989,1.3e-07,1.3e-07,0.99999973,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999999
7.953e-05,7.954e-05,0.99999991,5e-08,5e-08,0.99999991,1.1e-07,1.1e-07,0.99999977,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999999
7.414e-05,7.413e-05,0.99999993,4e-08,4e-08,0.99999992,9e-08,9e-08,0.99999981,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999999
6.908e-05,6.909e-05,0.99999994,3e-08,3e-08,0.99999993,8e-08,8e-08,0.99999984,0.0,0.0,0.99999999,0.0,0.0,0.99999999
6.435e-05,6.435e-05,0.99999995,3e-08,3e-08,0.99999994,7e-08,7e-08,0.99999987,0.0,0.0,0.99999999,0.0,0.0,0.99999999
5.99e-05,5.991e-05,0.99999995,2e-08,2e-08,0.99999995,6e-08,6e-08,0.99999989,0.0,0.0,0.99999999,0.0,0.0,0.99999999
5.578e-05,5.577e-05,0.99999996,2e-08,2e-08,0.99999996,5e-08,5e-08,0.99999991,0.0,0.0,0.99999999,0.0,0.0,0.99999999
5.189e-05,5.189e-05,0.99999997,2e-08,2e-08,0.99999996,4e-08,4e-08,0.99999992,0.0,0.0,0.99999999,0.0,0.0,0.99999999
4.824e-05,4.824e-05,0.99999997,2e-08,2e-08,0.99999997,3e-08,3e-08,0.99999994,0.0,0.0,1.0,0.0,0.0,1.0
4.483e-05,4.483e-05,0.99999998,1e-08,1e-08,0.99999997,3e-08,3e-08,0.99999995,0.0,0.0,1.0,0.0,0.0,1.0
4.164e-05,4.164e-05,0.99999998,1e-08,1e-08,0.99999998,2e-08,2e-08,0.99999995,0.0,0.0,1.0,0.0,0.0,1.0
3.866e-05,3.866e-05,0.99999998,1e-08,1e-08,0.99999998,2e-08,2e-08,0.99999996,0.0,0.0,1.0,0.0,0.0,1.0
3.588e-05,3.588e-05,0.99999999,1e-08,1e-08,0.99999998,2e-08,2e-08,0.99999997,0.0,0.0,1.0,0.0,0.0,1.0
3.33e-05,3.33e-05,0.99999999,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999997,0.0,0.0,1.0,0.0,0.0,1.0
3.089e-05,3.089e-05,0.99999999,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999998,0.0,0.0,1.0,0.0,0.0,1.0
2.862e-05,2.862e-05,0.99999999,0.0,0.0,0.99999999,1e-08,1e-08,0.99999998,0.0,0.0,1.0,0.0,0.0,1.0
2.659e-05,2.659e-05,0.99999999,0.0,0.0,0.99999999,1e-08,1e-08,0.99999998,0.0,0.0,1.0,0.0,0.0,1.0
2.467e-05,2.467e-05,0.99999999,0.0,0.0,0.99999999,1e-08,1e-08,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
2.282e-05,2.282e-05,0.99999999,0.0,0.0,0.99999999,1e-08,1e-08,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
2.113e-05,2.113e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
1.954e-05,1.954e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
1.805e-05,1.805e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
1.666e-05,1.666e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.538e-05,1.538e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.422e-05,1.422e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.311e-05,1.311e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.215e-05,1.215e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.123e-05,1.123e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.035e-05,1.035e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9.53e-06,9.53e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8.76e-06,8.76e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8.1e-06,8.09e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7.43e-06,7.43e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6.85e-06,6.85e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6.36e-06,6.36e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5.89e-06,5.89e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5.39e-06,5.39e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4.97e-06,4.97e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
